Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
Vardas145      Pavarde145                          3.36                3.60
Vardas149      Pavarde149                          4.12                3.80
Vardas151      Pavarde151                          4.72                4.80
Vardas152      Pavarde152                          3.44                3.80
Vardas154      Pavarde154                          2.92                2.40
Vardas157      Pavarde157                          4.20                4.20
Vardas159      Pavarde159                          2.68                2.60
Vardas164      Pavarde164                          3.88                3.60
Vardas165      Pavarde165                          4.04                3.60
Vardas166      Pavarde166                          3.32                3.00
Vardas167      Pavarde167                          4.08                4.00
Vardas169      Pavarde169                          3.84                4.20
Vardas171      Pavarde171                          3.52                3.40
Vardas173      Pavarde173                          3.24                3.40
Vardas175      Pavarde175                          4.72                4.20
Vardas176      Pavarde176                          4.96                5.20
Vardas177      Pavarde177                          3.88                3.60
Vardas182      Pavarde182                          3.24                2.60
Vardas183      Pavarde183                          4.64                4.80
Vardas185      Pavarde185                          2.48                2.20
Vardas187      Pavarde187                          4.60                4.20
Vardas189      Pavarde189                          3.92                4.00
Vardas190      Pavarde190                          3.88                3.80
Vardas199      Pavarde199                          3.08                3.00
Vardas201      Pavarde201                          4.52                4.40
Vardas202      Pavarde202                          4.72                5.00
Vardas203      Pavarde203                          2.44                2.00
Vardas204      Pavarde204                          4.64                5.00
Vardas207      Pavarde207                          4.32                4.60
Vardas212      Pavarde212                          2.92                3.20
Vardas213      Pavarde213                          4.96                4.60
Vardas215      Pavarde215                          3.04                2.80
Vardas216      Pavarde216                          4.04                4.00
Vardas217      Pavarde217                          3.92                4.20
Vardas218      Pavarde218                          3.20                3.00
Vardas219      Pavarde219                          3.04                2.80
Vardas221      Pavarde221                          3.92                3.40
Vardas223      Pavarde223                          3.96                4.20
Vardas224      Pavarde224                          4.52                4.00
Vardas226      Pavarde226                          3.60                3.40
Vardas229      Pavarde229                          4.68                4.40
Vardas231      Pavarde231                          3.60                3.60
Vardas236      Pavarde236                          4.76                4.60
Vardas237      Pavarde237                          4.52                4.40
Vardas241      Pavarde241                          3.20                3.60
Vardas243      Pavarde243                          3.68                4.00
Vardas246      Pavarde246                          4.04                4.60
Vardas251      Pavarde251                          4.44                4.40
Vardas253      Pavarde253                          3.72                4.20
Vardas255      Pavarde255                          3.92                4.00
Vardas258      Pavarde258                          4.92                5.40
Vardas264      Pavarde264                          3.64                4.00
Vardas266      Pavarde266                          3.52                3.60
Vardas267      Pavarde267                          4.60                4.60
Vardas268      Pavarde268                          2.20                2.00
Vardas270      Pavarde270                          2.88                2.80
Vardas271      Pavarde271                          3.96                3.80
Vardas272      Pavarde272                          3.56                3.20
Vardas274      Pavarde274                          3.24                3.00
Vardas275      Pavarde275                          3.92                4.00
Vardas276      Pavarde276                          3.28                3.20
Vardas277      Pavarde277                          4.84                4.80
Vardas278      Pavarde278                          3.72                3.40
Vardas281      Pavarde281                          3.72                4.20
Vardas282      Pavarde282                          4.72                4.40
Vardas283      Pavarde283                          4.08                3.60
Vardas284      Pavarde284                          2.72                2.40
Vardas285      Pavarde285                          4.96                5.00
Vardas286      Pavarde286                          3.16                2.80
Vardas287      Pavarde287                          4.72                5.20
Vardas292      Pavarde292                          3.24                3.20
Vardas297      Pavarde297                          3.48                3.60
Vardas298      Pavarde298                          4.20                4.40
Vardas299      Pavarde299                          4.52                4.40
Vardas303      Pavarde303                          4.64                4.80
Vardas308      Pavarde308                          3.88                4.00
Vardas312      Pavarde312                          4.12                4.40
Vardas316      Pavarde316                          2.72                3.00
Vardas318      Pavarde318                          2.88                2.80
Vardas321      Pavarde321                          2.40                2.00
Vardas323      Pavarde323                          3.16                3.00
Vardas324      Pavarde324                          3.68                3.60
Vardas325      Pavarde325                          2.64                2.60
Vardas326      Pavarde326                          3.80                3.80
Vardas328      Pavarde328                          2.88                3.00
Vardas330      Pavarde330                          4.84                4.60
Vardas336      Pavarde336                          3.80                3.80
Vardas339      Pavarde339                          3.56                3.80
Vardas343      Pavarde343                          4.64                4.60
Vardas344      Pavarde344                          4.56                4.80
Vardas346      Pavarde346                          2.68                2.40
Vardas347      Pavarde347                          4.40                4.20
Vardas348      Pavarde348                          2.76                2.60
Vardas350      Pavarde350                          3.52                3.60
Vardas352      Pavarde352                          4.88                5.20
Vardas354      Pavarde354                          3.32                3.60
Vardas356      Pavarde356                          4.76                4.60
Vardas358      Pavarde358                          3.76                3.80
Vardas359      Pavarde359                          4.56                4.20
Vardas365      Pavarde365                          3.72                3.20
Vardas369      Pavarde369                          4.92                5.20
Vardas377      Pavarde377                          2.80                2.80
Vardas378      Pavarde378                          4.40                4.60
Vardas379      Pavarde379                          3.32                3.00
Vardas384      Pavarde384                          2.36                2.40
Vardas386      Pavarde386                          3.80                4.20
Vardas391      Pavarde391                          4.24                4.00
Vardas392      Pavarde392                          4.28                4.20
Vardas393      Pavarde393                          3.64                3.80
Vardas394      Pavarde394                          3.60                3.60
Vardas395      Pavarde395                          3.08                3.20
Vardas402      Pavarde402                          3.40                3.40
Vardas406      Pavarde406                          3.88                3.60
Vardas407      Pavarde407                          3.56                3.80
Vardas408      Pavarde408                          4.56                4.80
Vardas416      Pavarde416                          2.44                2.60
Vardas417      Pavarde417                          3.76                3.80
Vardas418      Pavarde418                          3.72                3.60
Vardas420      Pavarde420                          2.80                2.60
Vardas422      Pavarde422                          4.44                4.60
Vardas423      Pavarde423                          3.44                3.80
Vardas425      Pavarde425                          4.84                5.20
Vardas426      Pavarde426                          1.96                1.40
Vardas428      Pavarde428                          4.88                5.00
Vardas433      Pavarde433                          3.52                4.00
Vardas439      Pavarde439                          3.84                3.80
Vardas443      Pavarde443                          3.52                4.00
Vardas452      Pavarde452                          4.48                4.20
Vardas456      Pavarde456                          2.84                2.80
Vardas459      Pavarde459                          4.00                3.80
Vardas461      Pavarde461                          4.80                5.00
Vardas462      Pavarde462                          4.00                4.00
Vardas463      Pavarde463                          4.92                5.20
Vardas464      Pavarde464                          4.20                4.60
Vardas465      Pavarde465                          4.80                4.20
Vardas467      Pavarde467                          3.00                3.20
Vardas469      Pavarde469                          4.60                3.80
Vardas470      Pavarde470                          4.12                4.20
Vardas473      Pavarde473                          2.84                3.00
Vardas475      Pavarde475                          2.56                2.40
Vardas477      Pavarde477                          4.68                4.80
Vardas479      Pavarde479                          3.88                4.40
Vardas483      Pavarde483                          3.68                3.60
Vardas489      Pavarde489                          4.32                3.80
Vardas493      Pavarde493                          4.32                4.20
Vardas496      Pavarde496                          4.08                4.40
Vardas499      Pavarde499                          4.76                4.80
Vardas506      Pavarde506                          3.84                4.00
Vardas507      Pavarde507                          4.52                3.80
Vardas509      Pavarde509                          4.16                4.60
Vardas512      Pavarde512                          3.60                3.60
Vardas513      Pavarde513                          3.24                3.00
Vardas520      Pavarde520                          4.00                4.00
Vardas524      Pavarde524                          4.20                4.20
Vardas525      Pavarde525                          4.08                4.20
Vardas529      Pavarde529                          4.24                4.40
Vardas532      Pavarde532                          3.24                3.00
Vardas538      Pavarde538                          4.76                4.80
Vardas542      Pavarde542                          3.32                3.00
Vardas544      Pavarde544                          2.72                2.60
Vardas546      Pavarde546                          4.56                4.40
Vardas547      Pavarde547                          4.48                4.60
Vardas549      Pavarde549                          2.96                3.60
Vardas551      Pavarde551                          3.12                3.00
Vardas552      Pavarde552                          2.60                2.60
Vardas559      Pavarde559                          4.76                4.60
Vardas563      Pavarde563                          4.92                5.00
Vardas565      Pavarde565                          4.80                5.00
Vardas566      Pavarde566                          4.80                5.00
Vardas569      Pavarde569                          4.12                4.20
Vardas577      Pavarde577                          3.80                3.60
Vardas579      Pavarde579                          3.60                3.60
Vardas581      Pavarde581                          2.84                2.60
Vardas584      Pavarde584                          4.28                4.00
Vardas590      Pavarde590                          4.68                4.60
Vardas593      Pavarde593                          2.72                2.60
Vardas594      Pavarde594                          3.16                3.00
Vardas595      Pavarde595                          4.48                4.80
Vardas601      Pavarde601                          4.52                4.60
Vardas602      Pavarde602                          3.64                3.80
Vardas604      Pavarde604                          3.44                3.60
Vardas610      Pavarde610                          2.96                2.80
Vardas614      Pavarde614                          3.56                3.80
Vardas617      Pavarde617                          3.68                3.80
Vardas619      Pavarde619                          4.80                5.00
Vardas620      Pavarde620                          2.68                2.40
Vardas621      Pavarde621                          3.40                3.40
Vardas623      Pavarde623                          3.96                3.60
Vardas625      Pavarde625                          3.20                3.40
Vardas628      Pavarde628                          4.08                4.00
Vardas630      Pavarde630                          4.72                4.80
Vardas631      Pavarde631                          4.00                3.40
Vardas634      Pavarde634                          4.32                4.40
Vardas635      Pavarde635                          2.56                2.40
Vardas638      Pavarde638                          3.20                3.40
Vardas642      Pavarde642                          3.60                3.80
Vardas643      Pavarde643                          4.12                4.40
Vardas649      Pavarde649                          4.60                4.60
Vardas650      Pavarde650                          2.96                3.00
Vardas651      Pavarde651                          3.08                3.40
Vardas653      Pavarde653                          3.84                3.80
Vardas654      Pavarde654                          3.80                3.00
Vardas656      Pavarde656                          3.40                3.60
Vardas659      Pavarde659                          3.40                4.00
Vardas660      Pavarde660                          4.44                4.60
Vardas665      Pavarde665                          3.24                3.20
Vardas666      Pavarde666                          4.00                3.80
Vardas668      Pavarde668                          3.36                3.20
Vardas669      Pavarde669                          4.32                4.20
Vardas670      Pavarde670                          2.80                2.60
Vardas673      Pavarde673                          3.56                3.60
Vardas674      Pavarde674                          3.76                3.60
Vardas676      Pavarde676                          4.36                4.60
Vardas678      Pavarde678                          2.80                2.60
Vardas680      Pavarde680                          4.32                4.20
Vardas681      Pavarde681                          3.56                3.20
Vardas683      Pavarde683                          4.40                4.20
Vardas689      Pavarde689                          3.16                3.20
Vardas690      Pavarde690                          3.08                3.00
Vardas691      Pavarde691                          3.24                3.20
Vardas693      Pavarde693                          3.16                3.40
Vardas694      Pavarde694                          3.36                3.60
Vardas697      Pavarde697                          2.40                2.20
Vardas702      Pavarde702                          3.32                3.20
Vardas703      Pavarde703                          3.40                3.40
Vardas705      Pavarde705                          3.48                3.40
Vardas707      Pavarde707                          3.80                3.60
Vardas708      Pavarde708                          4.68                4.80
Vardas712      Pavarde712                          2.76                2.80
Vardas713      Pavarde713                          3.72                3.80
Vardas714      Pavarde714                          4.12                4.00
Vardas721      Pavarde721                          3.88                3.80
Vardas722      Pavarde722                          4.48                4.80
Vardas724      Pavarde724                          2.68                2.40
Vardas726      Pavarde726                          4.00                3.40
Vardas727      Pavarde727                          3.72                3.60
Vardas729      Pavarde729                          2.68                2.60
Vardas730      Pavarde730                          3.64                4.00
Vardas733      Pavarde733                          3.16                3.20
Vardas737      Pavarde737                          3.28                3.00
Vardas738      Pavarde738                          2.36                2.40
Vardas739      Pavarde739                          4.28                4.00
Vardas742      Pavarde742                          2.96                2.60
Vardas747      Pavarde747                          3.24                3.60
Vardas749      Pavarde749                          4.56                4.40
Vardas750      Pavarde750                          3.24                3.40
Vardas751      Pavarde751                          3.68                3.40
Vardas754      Pavarde754                          3.04                3.60
Vardas756      Pavarde756                          4.60                5.20
Vardas757      Pavarde757                          4.96                4.80
Vardas760      Pavarde760                          4.40                5.00
Vardas764      Pavarde764                          3.92                4.40
Vardas767      Pavarde767                          2.64                2.60
Vardas769      Pavarde769                          4.60                4.20
Vardas771      Pavarde771                          4.48                4.00
Vardas773      Pavarde773                          4.64                4.60
Vardas774      Pavarde774                          4.08                4.00
Vardas780      Pavarde780                          4.96                4.80
Vardas781      Pavarde781                          4.64                4.80
Vardas783      Pavarde783                          4.92                5.00
Vardas786      Pavarde786                          4.20                4.40
Vardas788      Pavarde788                          2.80                2.80
Vardas789      Pavarde789                          4.48                4.40
Vardas791      Pavarde791                          4.16                4.60
Vardas795      Pavarde795                          4.20                4.60
Vardas811      Pavarde811                          3.16                3.20
Vardas814      Pavarde814                          4.92                5.40
Vardas817      Pavarde817                          4.24                4.80
Vardas818      Pavarde818                          3.08                2.60
Vardas819      Pavarde819                          3.44                3.60
Vardas825      Pavarde825                          4.76                4.20
Vardas830      Pavarde830                          3.84                3.60
Vardas831      Pavarde831                          4.20                3.80
Vardas832      Pavarde832                          3.84                4.00
Vardas834      Pavarde834                          4.16                4.20
Vardas836      Pavarde836                          4.64                4.60
Vardas838      Pavarde838                          3.08                3.20
Vardas840      Pavarde840                          4.52                4.40
Vardas842      Pavarde842                          2.84                2.40
Vardas843      Pavarde843                          4.96                5.00
Vardas844      Pavarde844                          3.92                3.40
Vardas845      Pavarde845                          3.56                4.00
Vardas848      Pavarde848                          4.56                4.60
Vardas853      Pavarde853                          2.36                1.80
Vardas855      Pavarde855                          3.64                3.80
Vardas859      Pavarde859                          4.48                4.20
Vardas860      Pavarde860                          4.72                4.80
Vardas870      Pavarde870                          4.36                4.40
Vardas872      Pavarde872                          3.88                3.80
Vardas875      Pavarde875                          3.96                3.80
Vardas877      Pavarde877                          3.84                3.20
Vardas880      Pavarde880                          4.28                4.40
Vardas887      Pavarde887                          4.56                4.20
Vardas889      Pavarde889                          3.00                3.00
Vardas890      Pavarde890                          2.52                2.40
Vardas892      Pavarde892                          4.88                5.20
Vardas899      Pavarde899                          3.52                3.60
Vardas901      Pavarde901                          4.04                3.80
Vardas902      Pavarde902                          4.52                4.20
Vardas904      Pavarde904                          4.92                4.80
Vardas905      Pavarde905                          4.36                4.60
Vardas910      Pavarde910                          4.04                4.40
Vardas912      Pavarde912                          2.28                2.20
Vardas916      Pavarde916                          3.92                3.80
Vardas917      Pavarde917                          4.60                4.80
Vardas919      Pavarde919                          3.44                3.20
Vardas922      Pavarde922                          3.32                3.20
Vardas923      Pavarde923                          2.84                3.20
Vardas925      Pavarde925                          3.52                3.80
Vardas928      Pavarde928                          2.84                2.80
Vardas930      Pavarde930                          2.44                2.20
Vardas931      Pavarde931                          3.32                3.00
Vardas932      Pavarde932                          4.00                4.20
Vardas935      Pavarde935                          3.64                3.60
Vardas936      Pavarde936                          3.00                3.20
Vardas940      Pavarde940                          4.56                4.60
Vardas942      Pavarde942                          3.40                3.20
Vardas944      Pavarde944                          3.28                3.20
Vardas947      Pavarde947                          3.48                3.60
Vardas949      Pavarde949                          4.44                4.00
Vardas950      Pavarde950                          3.44                3.40
Vardas955      Pavarde955                          3.48                2.80
Vardas956      Pavarde956                          3.72                4.00
Vardas961      Pavarde961                          3.88                4.00
Vardas962      Pavarde962                          3.20                3.00
Vardas963      Pavarde963                          4.80                4.80
Vardas964      Pavarde964                          4.72                4.60
Vardas966      Pavarde966                          3.76                4.20
Vardas968      Pavarde968                          4.72                4.80
Vardas970      Pavarde970                          3.44                3.60
Vardas971      Pavarde971                          2.28                1.80
Vardas974      Pavarde974                          3.28                3.20
Vardas975      Pavarde975                          2.92                2.00
Vardas976      Pavarde976                          2.48                2.40
Vardas977      Pavarde977                          3.40                3.00
Vardas979      Pavarde979                          3.84                4.00
Vardas983      Pavarde983                          4.96                5.00
Vardas984      Pavarde984                          3.04                3.00
Vardas987      Pavarde987                          4.20                4.20
Vardas989      Pavarde989                          4.56                4.80
Vardas990      Pavarde990                          4.00                4.20
Vardas992      Pavarde992                          3.88                4.00
Vardas997      Pavarde997                          3.40                3.60
Vardas998      Pavarde998                          4.12                4.40
Vardas1000     Pavarde1000                         3.12                2.60
